App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
Gakondo,com.ishakwe.gakondo,Adventure,0.0,0,10+,10,15,True,0,USD,10M,7.1 and up,Jean Confident Irénée NIYIZIBYOSE,https://beniyizibyose.tk/#/,jean21101999@gmail.com,"Feb 26, 2020","Feb 26, 2020",Everyone,https://beniyizibyose.tk/projects/,False,False,False,2021-06-15 20:19:35
Ampere Battery Info,com.webserveis.batteryinfo,Tools,4.4,64,"5,000+",5000,7662,True,0,USD,2.9M,5.0 and up,Webserveis,https://webserveis.netlify.app/,webserveis@gmail.com,"May 21, 2020","May 06, 2021",Everyone,https://dev4phones.wordpress.com/licencia-de-uso/,True,False,False,2021-06-15 20:19:35
Vibook,com.doantiepvien.crm,Productivity,0.0,0,50+,50,58,True,0,USD,3.7M,4.0.3 and up,Cabin Crew,,vnacrewit@gmail.com,"Aug 9, 2019","Aug 19, 2019",Everyone,https://www.vietnamairlines.com/vn/en/terms-and-conditions/privacy-policy,False,False,False,2021-06-15 20:19:35
Smart City Trichy Public Service Vehicles 17UCS548,cst.stJoseph.ug17ucs548,Communication,5.0,5,10+,10,19,True,0,USD,1.8M,4.0.3 and up,Climate Smart Tech2,http://www.climatesmarttech.com/,climatesmarttech2@gmail.com,"Sep 10, 2018","Oct 13, 2018",Everyone,,True,False,False,2021-06-15 20:19:35
GROW.me,com.horodyski.grower,Tools,0.0,0,100+,100,478,True,0,USD,6.2M,4.1 and up,Rafal Milek-Horodyski,http://www.horodyski.com.pl,rmilekhorodyski@gmail.com,"Feb 21, 2020","Nov 12, 2018",Everyone,http://www.horodyski.com.pl,False,False,False,2021-06-15 20:19:35
IMOCCI,com.imocci,Social,0.0,0,50+,50,89,True,0,USD,46M,6.0 and up,Imocci GmbH,http://www.imocci.com,info@imocci.com,"Dec 24, 2018","Dec 20, 2019",Teen,https://www.imocci.com/wp-content/uploads/2018/08/Datenschutzerklärung_IMOCCI_22072018.pdf,False,True,False,2021-06-15 20:19:35
unlimited 4G data prank free app,getfreedata.superfatiza.unlimitedjiodataprank,Libraries & Demo,4.5,12,"1,000+",1000,2567,True,0,USD,2.5M,4.1 and up,android developer779,,aitomgharfatimezzahra@gmail.com,"Sep 23, 2019","Sep 27, 2019",Everyone,https://sites.google.com/view/unlimited4gdataprank,True,False,False,2021-06-15 20:19:35
The Everyday Calendar,com.mozaix.simoneboard,Lifestyle,2.0,39,500+,500,702,True,0,USD,16M,5.0 and up,Mozaix LLC,,elementuser03@gmail.com,"Jun 21, 2019","Jun 21, 2019",Everyone,https://www.freeprivacypolicy.com/privacy/view/978b22a2fd432de423de81e4ac91d571,False,False,False,2021-06-15 20:19:35
WhatsOpen,com.whatsopen.app,Communication,0.0,0,10+,10,18,True,0,USD,1.3M,4.4 and up,Yilver Molina Hurtatiz,http://yilvermolinah.com,yilver.mh1996@gmail.com,,"Dec 07, 2018",Teen,http://elcafedelamanana.yilvermolinah.com/policy.html,False,False,False,2021-06-15 20:19:35
Neon 3d Iron Tech Keyboard Theme,com.ikeyboard.theme.neon_3d.iron.tech,Personalization,4.7,820,"50,000+",50000,62433,True,0,USD,3.5M,4.1 and up,Free 2021 Themes for Emoji keyboard,https://trendyteme888-31139.web.app,trendyteme.888@gmail.com,"Sep 22, 2019","Oct 07, 2020",Everyone,http://bit.ly/EmojiThemePro,True,False,False,2021-06-15 20:19:35
